Lp.,Miasto,Odl od morza,Odl od centrum miasta,Odl od centrum handl.,Odl od glownej arterii,Liczba pokoi,Liczba łazienek,Powierzchnia,Piętro,Ilosc pieter,Cena za m2,Cena brutto
58,Gdynia,0.4,1.1,1.86,1.1,4,2,102.5,1,8,13886.00,1423325.00
59,Gdynia,0.4,1.1,1.86,1.1,4,2,102.5,2,8,14551.00,1491505.00
60,Gdynia,0.4,1.1,1.86,1.1,4,2,102.5,3,8,14867.00,1523898.00
61,Gdynia,0.4,1.1,1.86,1.1,4,2,102.5,4,8,15148.00,1552626.00
62,Gdańsk,11,5.8,5.4,5.1,3,1,57.6,4,4,11739.00,676177.00
63,Gdańsk,11,5.8,5.4,5.1,3,1,61.7,1,4,11933.00,736260.00
64,Gdańsk,11,5.8,5.4,5.1,3,1,61.4,3,4,11715.00,719296.00
65,Gdańsk,11,5.8,5.4,5.1,3,1,57.7,4,4,11670.00,673332.00
66,Gdańsk,8,5.32,2.6,4.12,5,2,108,0,4,10231.00,1104932.00
67,Gdańsk,8,5.32,2.6,4.12,5,2,109.6,0,4,10231.00,1121302.00
68,Gdańsk,2.72,6.66,0.1,0.36,3,1,72.2,3,5,17609.00,1271345.00
69,Gdańsk,3.04,4.4,0.9,0.8,3,2,79.7,0,5,13623.00,1085784.00
70,Gdańsk,3.04,4.4,0.9,0.8,3,1,78.1,1,5,13718.00,1071401.00
71,Gdańsk,3.04,4.4,0.9,0.8,3,1,77.6,2,5,13813.00,1071909.00
72,Gdańsk,3.04,4.4,0.9,0.8,3,1,77.8,3,5,14003.00,1089443.00
73,Gdańsk,3.04,4.4,0.9,0.8,3,1,77.7,4,5,14122.00,1097264.00
74,Gdańsk,3.04,4.4,0.9,0.8,3,1,79,0,5,13410.00,1056690.00
75,Gdańsk,3.04,4.4,0.9,0.8,4,2,84.6,5,5,13329.00,1127642.00
76,Gdańsk,3.04,4.4,0.9,0.8,4,2,121,5,5,13262.00,1604730.00
77,Gdańsk,8,5.32,2,4.12,3,2,60.8,0,2,14715.00,894681.00
78,Gdańsk,8,5.32,2,4.12,2,1,50.1,0,2,16258.00,814520.00
79,Gdańsk,8,5.32,2,4.12,3,2,68.5,0,2,15603.00,1068779.00
80,Gdańsk,8,5.32,2,4.12,3,2,71.7,1,2,14711.00,1054780.00
81,Gdańsk,8,5.32,2,4.12,3,2,65.8,1,2,16495.00,1085386.00
82,Gdańsk,8,5.32,2,4.12,2,1,50.1,1,2,17207.00,862083.00
83,Gdańsk,8,5.32,2,4.12,3,2,68.6,1,2,16271.00,1116212.00
84,Gdańsk,8,5.32,2,4.12,3,2,75.1,1,2,15937.00,1196866.00
85,Gdańsk,8,5.32,2,4.12,2,1,54.3,2,2,17682.00,960128.00
86,Gdańsk,8,5.32,2,4.12,2,1,52.2,2,2,17919.00,935386.00
87,Gdańsk,8,5.32,2,4.12,2,1,49.8,2,2,18513.00,921929.00
88,Gdańsk,8,5.32,2,4.12,2,1,54.9,2,2,18631.00,1022859.00
89,Gdańsk,8,5.32,2,4.12,2,1,56,2,2,18157.00,1016770.00
90,Gdańsk,4.8,4.82,1.24,1.12,3,2,69.6,5,9,15190.00,1057214.00
91,Gdańsk,4.8,4.82,1.24,1.12,3,2,69.5,5,9,15665.00,1088685.00
92,Gdańsk,4.8,4.82,1.24,1.12,2,1,57.1,5,9,15902.00,907997.00
93,Gdańsk,4.8,4.82,1.24,1.12,2,1,50.3,6,9,15783.00,793896.00
94,Gdańsk,4.8,4.82,1.24,1.12,3,2,65.8,6,9,15071.00,991683.00
95,Gdańsk,4.8,4.82,1.24,1.12,3,2,70.9,7,17,14711.00,1043013.00
96,Gdańsk,4.8,4.82,1.24,1.12,2,1,47.1,8,17,15665.00,737799.00
97,Gdańsk,4.8,4.82,1.24,1.12,4,2,84.4,9,17,16717.00,1410922.00
98,Gdańsk,4.8,4.82,1.24,1.12,3,2,67.5,9,17,16717.00,1128404.00
99,Gdańsk,4.8,4.82,1.24,1.12,4,2,97.5,15,17,21175.00,2064561.00
100,Gdańsk,4.8,4.82,1.24,1.12,4,2,122.9,16,17,20195.00,2481923.00
101,Gdańsk,4.8,4.82,1.24,1.12,4,2,97.5,16,17,21175.00,2064561.00
102,Gdańsk,4.8,4.82,1.24,1.12,2,1,51.8,0,9,15190.00,786833.00
103,Gdańsk,4.8,4.82,1.24,1.12,3,2,65.7,1,9,14478.00,951193.00
104,Gdańsk,4.8,4.82,1.24,1.12,2,1,45.4,2,9,15071.00,684231.00
105,Gdańsk,4.44,4.22,0.7,0.7,3,1,78.2,3,9,14265.00,1115542.00
106,Gdańsk,4.44,4.22,0.7,0.7,5,3,154.5,4,9,12594.00,1945701.00
107,Gdańsk,4.44,4.22,0.7,0.7,3,2,156.5,9,9,13151.00,2058096.00
108,Gdańsk,4.44,4.22,0.7,0.7,3,1,70.6,0,3,14596.00,1030512.00
