lp,tittle,rodzaj,rooms,price [euro],metraż,cena za metr kw [euro],cena za metr kw [zł],bathrooms,garage,terrace,zipcode,rok budowy,ilosc hoteli w poblizu jako wskaznik atrakcyjnosci miejsca
77,"Piso en Arroyo - Santa Justa, Sevilla",mieszkanie,3 hab.,136000,72,1889,8689,1,0,0,41007,0,3
78,"Piso en Arroyo - Santa Justa, Sevilla",mieszkanie,3 hab.,116500,64,1820,8373,1,0,0,41007,0,3
79,"Piso en Arroyo - Santa Justa, Sevilla",mieszkanie,3 hab.,121000,68,1779,8185,1,0,1,41007,1976,3
80,"Piso en Arroyo - Santa Justa, Sevilla",mieszkanie,3 hab.,138500,83,1669,7676,1,0,0,41007,0,3
81,"Piso en Arroyo - Santa Justa, Sevilla",mieszkanie,2 hab.,109000,68,1603,7374,1,0,0,41007,1958,3
82,"Piso en Arroyo, Arroyo - Santa Justa, Sevilla",mieszkanie,3 hab.,161000,77,2091,9618,1,0,0,41007,0,3
83,"Piso en Arroyo, Arroyo - Santa Justa, Sevilla",mieszkanie,3 hab.,153500,76,2020,9291,1,0,1,41007,1972,3
84,"Piso en Arroyo, Arroyo - Santa Justa, Sevilla",mieszkanie,3 hab.,153500,76,2020,9291,1,0,1,41007,1972,3
85,"Piso en ARROYO, Arroyo - Santa Justa, Sevilla",mieszkanie,3 hab.,153000,80,1913,8798,1,0,1,41007,0,3
86,"Piso en ARROYO, Arroyo - Santa Justa, Sevilla",mieszkanie,3 hab.,153000,80,1913,8798,1,0,1,41007,0,3
87,"Piso en asensio y toledo, 42, Bellavista, Sevilla",mieszkanie,3 hab.,112260,96,1169,5379,1,0,1,41014,1970,3
88,"Piso en Asunción - Adolfo Suárez, Sevilla",mieszkanie,3 hab.,329700,96,3434,15798,2,0,0,41011,0,2
89,"Piso en Asunción - Adolfo Suárez, Sevilla",mieszkanie,4 hab.,1000000,303,3300,15182,4,0,0,41011,0,2
90,"Piso en Asunción - Adolfo Suárez, Sevilla",mieszkanie,4 hab.,450000,145,3103,14276,3,1,1,41011,1985,2
91,"Piso en Asunción - Adolfo Suárez, Sevilla",mieszkanie,3 hab.,350000,115,3043,14000,2,0,0,41011,0,2
92,"Piso en Asunción - Adolfo Suárez, Sevilla",mieszkanie,7 hab.,1150000,380,3026,13921,5,1,0,41011,1976,2
93,"Piso en Asunción - Adolfo Suárez, Sevilla",mieszkanie,4 hab.,300000,100,3000,13800,2,0,1,41011,0,2
94,"Piso en Asunción - Adolfo Suárez, Sevilla",mieszkanie,3 hab.,348000,122,2852,13121,2,0,1,41011,2021,2
95,"Piso en Asunción - Adolfo Suárez, Sevilla",mieszkanie,5 hab.,520000,198,2626,12081,3,1,1,41011,1968,2
96,"Piso en Asunción - Adolfo Suárez, Sevilla",mieszkanie,4 hab.,485000,185,2622,12059,3,1,0,41011,0,2
97,"Piso en Asunción - Adolfo Suárez, Sevilla",mieszkanie,4 hab.,419000,160,2619,12046,2,1,1,41011,0,2
98,"Piso en Asunción - Adolfo Suárez, Sevilla",mieszkanie,4 hab.,399000,162,2463,11330,2,0,1,41011,1974,2
99,"Piso en Asunción - Adolfo Suárez, Sevilla",mieszkanie,4 hab.,314000,133,2361,10860,2,0,1,41011,1957,2
100,"Piso en Asunción - Adolfo Suárez, Sevilla",mieszkanie,4 hab.,415000,220,1886,8677,3,0,1,41011,1964,2
101,"Piso en Asunción - Adolfo Suárez, Sevilla",mieszkanie,4 hab.,380000,220,1727,7945,3,0,1,41011,1964,2
102,"Piso en ASUNCIÓN, Ramón de Carranza - Madre Rafols, Sevilla",mieszkanie,5 hab.,760000,263,2890,13293,3,1,1,41011,0,2
103,"Piso en Av. de la Cruz del Campo, 19, Gran Plaza - Marqués de Pickman - Ciudad Jardín, Sevilla",mieszkanie,4 hab.,390000,211,1848,8502,3,0,1,41005,0,2
104,"Piso en Av. Reina Mercedes, Reina Mercedes - Heliópolis, Sevilla",mieszkanie,4 hab.,240000,128,1875,8625,2,0,1,41012,1967,3
105,"Piso en avada ramón y cajal, Nervión, Sevilla",mieszkanie,2 hab.,170000,62,2742,12613,1,0,0,41005,0,2
106,"Piso en avenida Blas Infante, Blas Infante, Sevilla",mieszkanie,4 hab.,500000,178,2809,12921,2,1,1,41011,0,2
107,"Piso en avenida Blas Infante, Blas Infante, Sevilla",mieszkanie,5 hab.,500000,180,2778,12778,3,1,0,41011,0,2
108,"Piso en avenida Blas Infante, Sevilla, Blas Infante, Sevilla",mieszkanie,6 hab.,505000,214,2360,10855,3,1,1,41011,1975,2
109,"Piso en avenida Buhaira, San Bernardo-Buhaira-Huerta del Rey, Sevilla",mieszkanie,3 hab.,600000,150,4000,18400,2,1,0,41018,2008,5
110,"Piso en avenida Cardenal Ilundain, Sevilla, La Palmera - Manuel Siurot, Sevilla",mieszkanie,5 hab.,1200000,315,3810,17524,4,1,1,41013,2005,3
111,"Piso en avenida de Altamira, s/n, Alcalde L. Uruñuela - Palacio de Congresos, Sevilla",mieszkanie,4 hab.,192000,104,1846,8492,2,0,0,41020,0,6
112,"Piso en avenida de Andalucía, Gran Plaza - Marqués de Pickman - Ciudad Jardín, Sevilla",mieszkanie,3 hab.,229000,98,2337,10749,2,1,1,41005,0,2
113,"Piso en avenida de Andalucía, Gran Plaza - Marqués de Pickman - Ciudad Jardín, Sevilla",mieszkanie,3 hab.,87000,74,1176,5408,1,0,0,41005,1964,2
114,"Piso en avenida de Andalucía, Santa Aurelia, Sevilla",mieszkanie,2 hab.,116000,72,1611,7411,1,1,1,41006,1980,1
115,"Piso en avenida de Bellavista, 19, Bellavista, Sevilla",mieszkanie,3 hab.,100000,83,1205,5542,1,0,1,41014,1980,3
116,"Piso en avenida de Bellavista, 25, Bellavista, Sevilla",mieszkanie,2 hab.,66000,55,1200,5520,1,0,0,41014,0,3
117,"Piso en avenida de Bellavista, 4, Bellavista, Sevilla",mieszkanie,2 hab.,95000,73,1301,5986,1,0,0,41014,1976,3
118,"Piso en avenida de Bellavista, 8, Bellavista, Sevilla",mieszkanie,3 hab.,110000,76,1447,6658,1,0,1,41014,1976,3
119,"Piso en avenida de Bellavista, Bellavista, Sevilla",mieszkanie,3 hab.,160000,71,2254,10366,1,0,1,41014,1976,3
120,"Piso en avenida de Bellavista, Bellavista, Sevilla",mieszkanie,3 hab.,142000,70,2029,9331,1,0,1,41014,1976,3
121,"Piso en avenida de Bellavista, Bellavista, Sevilla",mieszkanie,3 hab.,97500,105,929,4271,2,0,0,41014,1975,3
122,"Piso en avenida DE BELLAVISTA, s/n, Bellavista, Sevilla",mieszkanie,2 hab.,104050,85,1224,5631,1,1,0,41014,1972,3
123,"Piso en avenida de Cádiz, Prado de San Sebastián - Ramón Carande, Sevilla",mieszkanie,2 hab.,220000,92,2391,11000,1,0,1,41004,0,53
